benchmark,both_correct,both_wrong,comparison_id,left_accuracy,left_correct_answers,left_experiment,left_minus_right_percentage_points,left_only_correct,mcnemar_exact_two_sided_p,observed_pairs,right_accuracy,right_correct_answers,right_experiment,right_only_correct
gsm8k,294,673,qwen3-0.6b-socratic-vs-base,0.3388931008339651,447,qwen3-0.6b-socratic,-3.4874905231235784,153,0.01634043631781171,1319,0.3737680060652009,493,qwen3-0.6b-base,199
multiarith,109,14,qwen3-0.6b-socratic-vs-base,0.8722222222222222,157,qwen3-0.6b-socratic,21.666666666666668,48,1.5201952291433074e-07,180,0.6555555555555556,118,qwen3-0.6b-base,9
svamp,83,90,qwen3-0.6b-socratic-vs-base,0.4766666666666667,143,qwen3-0.6b-socratic,-2.3333333333333335,60,0.5946154859354997,300,0.5,150,qwen3-0.6b-base,67
gsm8k,328,622,qwen3-0.6b-non-socratic-vs-base,0.40333586050037906,532,qwen3-0.6b-non-socratic,2.9567854435178167,204,0.047759029760092386,1319,0.3737680060652009,493,qwen3-0.6b-base,165
multiarith,111,8,qwen3-0.6b-non-socratic-vs-base,0.9166666666666666,165,qwen3-0.6b-non-socratic,26.11111111111111,54,4.322107220733362e-10,180,0.6555555555555556,118,qwen3-0.6b-base,7
svamp,99,86,qwen3-0.6b-non-socratic-vs-base,0.5433333333333333,163,qwen3-0.6b-non-socratic,4.333333333333333,64,0.2630539575429311,300,0.5,150,qwen3-0.6b-base,51
gsm8k,322,662,qwen3-0.6b-socratic-vs-non-socratic,0.3388931008339651,447,qwen3-0.6b-socratic,-6.444275966641395,125,3.971806803425547e-06,1319,0.40333586050037906,532,qwen3-0.6b-non-socratic,210
multiarith,151,9,qwen3-0.6b-socratic-vs-non-socratic,0.8722222222222222,157,qwen3-0.6b-socratic,-4.444444444444445,6,0.11531829833984386,180,0.9166666666666666,165,qwen3-0.6b-non-socratic,14
svamp,102,96,qwen3-0.6b-socratic-vs-non-socratic,0.4766666666666667,143,qwen3-0.6b-socratic,-6.666666666666667,41,0.05940053690343023,300,0.5433333333333333,163,qwen3-0.6b-non-socratic,61
gsm8k,366,453,qwen3-1.7b-socratic-vs-base,0.55420773313116,731,qwen3-1.7b-socratic,17.437452615617893,365,1.7428905853450904e-25,1319,0.379833206974981,501,qwen3-1.7b-base,135
multiarith,159,2,qwen3-1.7b-socratic-vs-base,0.9388888888888889,169,qwen3-1.7b-socratic,0.5555555555555556,10,1.0,180,0.9333333333333333,168,qwen3-1.7b-base,9
svamp,161,43,qwen3-1.7b-socratic-vs-base,0.6466666666666666,194,qwen3-1.7b-socratic,-10.0,33,0.0028786100812010136,300,0.7466666666666667,224,qwen3-1.7b-base,63
gsm8k,385,464,qwen3-1.7b-non-socratic-vs-base,0.5602729340409401,739,qwen3-1.7b-non-socratic,18.043972706595905,354,4.777729493967879e-29,1319,0.379833206974981,501,qwen3-1.7b-base,116
multiarith,161,0,qwen3-1.7b-non-socratic-vs-base,0.9611111111111111,173,qwen3-1.7b-non-socratic,2.7777777777777777,12,0.3592834472656259,180,0.9333333333333333,168,qwen3-1.7b-base,7
svamp,157,43,qwen3-1.7b-non-socratic-vs-base,0.6333333333333333,190,qwen3-1.7b-non-socratic,-11.333333333333334,33,0.0008737198369123853,300,0.7466666666666667,224,qwen3-1.7b-base,67
gsm8k,568,417,qwen3-1.7b-socratic-vs-non-socratic,0.55420773313116,731,qwen3-1.7b-socratic,-0.6065200909780136,163,0.7017635113423073,1319,0.5602729340409401,739,qwen3-1.7b-non-socratic,171
multiarith,165,3,qwen3-1.7b-socratic-vs-non-socratic,0.9388888888888889,169,qwen3-1.7b-socratic,-2.2222222222222223,4,0.3876953125,180,0.9611111111111111,173,qwen3-1.7b-non-socratic,8
svamp,157,73,qwen3-1.7b-socratic-vs-non-socratic,0.6466666666666666,194,qwen3-1.7b-socratic,1.3333333333333333,37,0.7202027723528516,300,0.6333333333333333,190,qwen3-1.7b-non-socratic,33
gsm8k,48,984,llama3.2-1b-socratic-vs-base,0.07354056103108415,97,llama3.2-1b-socratic,-14.329037149355573,49,5.851290302735571e-31,1319,0.2168309325246399,286,llama3.2-1b-base,238
multiarith,45,32,llama3.2-1b-socratic-vs-base,0.7666666666666667,138,llama3.2-1b-socratic,46.111111111111114,93,5.198609903817473e-18,180,0.3055555555555556,55,llama3.2-1b-base,10
svamp,33,145,llama3.2-1b-socratic-vs-base,0.4633333333333333,139,llama3.2-1b-socratic,30.0,106,1.8172560940407226e-17,300,0.16333333333333333,49,llama3.2-1b-base,16
