benchmark,corrected_accuracy,corrected_accuracy_percent,corrected_correct_answers,corrected_invalid_answers,corrected_valid_answers,corrected_wilson_lower,corrected_wilson_upper,decision_changes,experiment_id,format_only_recoveries,mode,model,model_revision,observed_rows,previous_accuracy,previous_correct_answers,previous_valid_answers,rescored_path,rescored_sha256,samples,source_manifest_path,source_manifest_sha256,source_prediction_path,source_prediction_sha256,terminal_accuracy,terminal_correct_answers,terminal_valid_answers
gsm8k,0.2168309325246399,21.683093252463987,286,134,1185,0.19543139440558893,0.23987508543066716,90,llama3.2-1b-base,90,greedy,mlx-community/Llama-3.2-1B-Instruct-MLXTuned,7247cd8c176bbc558293c9b4750e9f97b5beb319,1319,0.21607278241091737,285,1095,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/llama3.2_1b_base/gsm8k/greedy/rescored.jsonl,12b2f4f131efbc2e49a3def1845edcaa3132fca0fa2cadeab4c374c6f201982c,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_base/gsm8k/greedy/manifest.json,cf5fae14cb7aafa9ed91cc6b4788a95ddd0649efcf1880be569f0d5499296562,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_base/gsm8k/greedy/predictions.jsonl,1578ff398b8b320d3f21721649c11c9897386123fb20a241c93dcf9a706139e3,0.21607278241091737,285,1095
multiarith,0.3055555555555556,30.555555555555557,55,99,81,0.24290760922735255,0.37632952885327475,10,llama3.2-1b-base,10,greedy,mlx-community/Llama-3.2-1B-Instruct-MLXTuned,7247cd8c176bbc558293c9b4750e9f97b5beb319,180,0.2833333333333333,51,71,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/llama3.2_1b_base/multiarith/greedy/rescored.jsonl,7e8d029ae8c9a4c58364ded36e87ba53b410d7538ade0ac326b9ea80fc970ff1,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_base/multiarith/greedy/manifest.json,b1f4a2bdc1cafc65012af9728c21c082e380c94f76e60d5fcb12a02e29ebadae,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_base/multiarith/greedy/predictions.jsonl,2d99681011f710409bdfa6e9a0bdfaa7e8a9c4408c7650e83ac8b8c4cc8e20bb,0.2833333333333333,51,71
svamp,0.16333333333333333,16.333333333333332,49,178,122,0.1258064331944026,0.20937316743012502,11,llama3.2-1b-base,11,greedy,mlx-community/Llama-3.2-1B-Instruct-MLXTuned,7247cd8c176bbc558293c9b4750e9f97b5beb319,300,0.15666666666666668,47,111,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/llama3.2_1b_base/svamp/greedy/rescored.jsonl,c55d06c083c43650bdff443e4cdd8d92d889ad149e9c42e13114b70ba81d6c6a,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_base/svamp/greedy/manifest.json,6195c0ce47523992869dcacd3fe8a78a6df84802e1ab1d8e97c6530324da3ce6,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_base/svamp/greedy/predictions.jsonl,5cc08bb946375efdf8d2fa76604ba9a7782f1b9dd410abff9017a0dc9b68016c,0.15666666666666668,47,111
gsm8k,0.07354056103108415,7.354056103108415,97,2,1317,0.06065855587685758,0.0888993956837691,195,llama3.2-1b-socratic,195,greedy,mlx-community/Llama-3.2-1B-Instruct-MLXTuned,7247cd8c176bbc558293c9b4750e9f97b5beb319,1319,0.0667172100075815,88,1122,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/llama3.2_1b_socratic/gsm8k/greedy/rescored.jsonl,d72411358c5af88c06357b41ee5b94cb287264fdbe0e6e4b3be581694c507426,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_socratic/gsm8k/greedy/manifest.json,c3479d2ef496600e0fa8d6f28eaa1c975132aa292dc6bec24280505fe46fd366,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_socratic/gsm8k/greedy/predictions.jsonl,b341275f04a1c541cefedc69f171a6f641e4c3e587acc44ce0244a0a062b97ce,0.0667172100075815,88,1122
multiarith,0.7666666666666667,76.66666666666667,138,0,180,0.6997021803760345,0.8224868873991052,0,llama3.2-1b-socratic,0,greedy,mlx-community/Llama-3.2-1B-Instruct-MLXTuned,7247cd8c176bbc558293c9b4750e9f97b5beb319,180,0.7666666666666667,138,180,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/llama3.2_1b_socratic/multiarith/greedy/rescored.jsonl,2cbc1257962977d7226ab163eae860a17e0325d06dbcc8a24aec10010bd2ba18,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_socratic/multiarith/greedy/manifest.json,2aecb246a2bde4d8a0a4dd67649f978ebc36645d7173d0e8c8e6d9f7ef7270a8,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_socratic/multiarith/greedy/predictions.jsonl,44ca239b1fe4caf387fd342437a08d834d1be405e15a0d8f7f8193fb23034713,0.7666666666666667,138,180
svamp,0.4633333333333333,46.333333333333336,139,2,298,0.40772588312888663,0.5198679347609133,0,llama3.2-1b-socratic,0,greedy,mlx-community/Llama-3.2-1B-Instruct-MLXTuned,7247cd8c176bbc558293c9b4750e9f97b5beb319,300,0.4633333333333333,139,298,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/llama3.2_1b_socratic/svamp/greedy/rescored.jsonl,d6cb1e24feccd2f444be4e525cba4fa1c4d5a2fc80bedf3a1a336a6c099b8df0,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_socratic/svamp/greedy/manifest.json,c5a4f7a83b437578104ec3fa3c9eeca36979a6775e0fd16cf5e927bf88dc9f29,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/llama3.2_1b_socratic/svamp/greedy/predictions.jsonl,5328ce24835f66259716acda10999c9f61d8d45c8436838bc676f82e1d0f99c5,0.4633333333333333,139,298
gsm8k,0.3737680060652009,37.37680060652009,493,38,1281,0.34806068832598275,0.4002084653359626,4,qwen3-0.6b-base,4,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,1319,0.3737680060652009,493,1277,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_base/gsm8k/greedy/rescored.jsonl,3fdcafafaceb7cb27507479c7e2b5e7dc2aa81b1b8febee802f551b3a6c5cf05,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_base/gsm8k/greedy/manifest.json,0730e558b8510bc87feb56cd4d5ae9c6d8c5b1a14ae228b846240258a48eaaaa,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_base/gsm8k/greedy/predictions.jsonl,c2a82c7355f9893b596025932982f58b7369ad5e5759ce2bcff591b76281df0e,0.3737680060652009,493,1277
multiarith,0.6555555555555556,65.55555555555556,118,25,155,0.5835387271294007,0.7210715624060974,15,qwen3-0.6b-base,15,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,180,0.6055555555555555,109,140,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_base/multiarith/greedy/rescored.jsonl,9aa3640ded6de223c2fcea79f4fb3fbbc653e24109400ccab09a16cc1ffb9923,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_base/multiarith/greedy/manifest.json,be7ba932348a2986f8fa000fdc8bc451761bc2dd60c9e4a2a6f114f31628f09a,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_base/multiarith/greedy/predictions.jsonl,144e4c560a5a40a66193278ea68a808d98f14f4c54698e62b0c7a759f61ca0f6,0.6055555555555555,109,140
svamp,0.5,50.0,150,51,249,0.4437795161339169,0.556220483866083,16,qwen3-0.6b-base,16,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,300,0.4766666666666667,143,233,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_base/svamp/greedy/rescored.jsonl,dcc75e0fd49444a61d968a00791f3854f1fb4812887bc725083934f69e3621bd,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_base/svamp/greedy/manifest.json,c27c2f2f9d6c73a32773bb80088cc437878b192fff303ce34b95c1741b858c46,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_base/svamp/greedy/predictions.jsonl,0d60be271a24d6d0151cb35083b7c3c8f670e1bfd3b6179fe2f44e841f3024d9,0.4766666666666667,143,233
gsm8k,0.40333586050037906,40.33358605003791,532,16,1303,0.377179270153328,0.43005386553374725,16,qwen3-0.6b-non-socratic,16,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,1319,0.40106141015921154,529,1287,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_non_socratic/gsm8k/greedy/rescored.jsonl,6d66d7d91b414dbc7ecc458c8e344ef1d75067fbc8feb920926152860aca35af,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_non_socratic/gsm8k/greedy/manifest.json,55efc66a6b55105b3dde37c2b7b5b07da2dfc7b39e23ab6566e239e2fe31723e,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_non_socratic/gsm8k/greedy/predictions.jsonl,2d1516b5b4416148dbf433ef5053b1623e024da6199a8605c03686859053bbce,0.40106141015921154,529,1287
multiarith,0.9166666666666666,91.66666666666667,165,0,180,0.867070280480355,0.9488501379183008,0,qwen3-0.6b-non-socratic,0,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,180,0.9166666666666666,165,180,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_non_socratic/multiarith/greedy/rescored.jsonl,ad11f9f9c1914e748ef441f354d7ba2f622123adcdc82eb24542f444e936729b,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_non_socratic/multiarith/greedy/manifest.json,41e6be5a82b40f57ff601681662db23349f6aabe54989043fabd05525f5c0f69,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_non_socratic/multiarith/greedy/predictions.jsonl,1179a43e17a24368cf4a846ae4fdaff5a92f9e9d4d7ba7234b80a27a084ebf05,0.9166666666666666,165,180
svamp,0.5433333333333333,54.333333333333336,163,2,298,0.48677384505565635,0.5987970974382163,4,qwen3-0.6b-non-socratic,4,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,300,0.54,162,294,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_non_socratic/svamp/greedy/rescored.jsonl,0de3b959a493372b3e48f5cacd2d3dfd201fe4f1e7dc7e92a06de870bec5e9f3,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_non_socratic/svamp/greedy/manifest.json,8deeaa9bdee599bae05a22eaa23b85561f60d8884838cc8bab3c68bdec322877,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_non_socratic/svamp/greedy/predictions.jsonl,3370d287465a177e84fdc1ccefd35bf412a6ddf887b5a6fdd91e6d2e272927ed,0.54,162,294
